has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype,target_type,connotation,gram_form,ling_form,situation,situation_evaluation,generalization,sentence
yes,The boy,no,very youthful,no,yes,specific target,neutral,noun,individual,enduring characteristics,positive,concrete,The boy was very youthful.
yes,My stepmother,no,"told corny jokes, was pretty mean to me",no,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete,"My stepmother told corny jokes, but my dad and I would always laugh. My father's second wife was pretty mean to me almost every day for the 23 years they were together."
yes,a stepmother,yes,mean and uncaring,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,Some kids have a stepmother. She is mean and uncaring.
yes,The young boy,yes,was a toublemaker,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract,The young boy was a toublemaker.
yes,The girl,yes,is emotional,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,The girl is emotional.
yes,A man,yes,is usually the breadwinner of the family,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,A man is usually the breadwinner of the family.
yes,an older woman,yes,was an older woman with a stern face,yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,concrete,"He said ""thank you ma'am"" to the cashier. She was an older woman with a stern face."
yes,My daughter,not-applicable,is spoiled whenever she asks for money to hang out with her friends,not-applicable,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete,My daughter is spoiled whenever she asks for money to hang out with her friends.
yes,the groom,yes,gotten really drunk last night,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete,That man over there is the groom of the wedding. He must have gotten really drunk last night.
yes,a Boyfriend,yes,He is tall strong and brave,yes,yes,generic target,positive,noun,generic,enduring characteristics,positive,abstract,I am a Boyfriend He is tall strong and brave
yes,her boyfriend,yes,he is wrapped around her finger,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,abstract,Have you seen her boyfriend? I heard he is wrapped around her finger.
yes,men,yes,are greatest chefs,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,concrete,The plan is for dinner at his home. Greatest chefs are men.
yes,My father,yes,is very tough,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,abstract,My father is very tough!
yes,an alpha male,yes,is kind of an alpha male and a playboy,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,abstract,He likes to stay in after long work weeks. Allen is kind of an alpha male and a playboy.
yes,The girl,yes,ran to school,yes,yes,specific target,neutral,noun,individual,situational behaviour,neutral,concrete,The girl ran to school. She was cute and petite.
yes,The ladies,yes,were having fun,yes,yes,generic target,neutral,noun,generic,situational behaviour,positive,concrete,"The ladies at the movie theater were having fun. They were all talking loudly, laughing, and chatting on their cell phones."
yes,the girl,yes,has a lot of immature qualities,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,concrete,The girl has a lot of immature qualities. Immature people are stupid.
yes,Asexual people,yes,are out to push an agenda on society/children/etc.,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Asexual people are out to push an agenda on society/children/etc.
yes,nonbinary people,yes,are too obsessed with labels,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,all nonbinary people are too obsessed with labels.
yes,Lesbians,yes,are unusual,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Lesbians are unusual.
yes,LGBTQ people,yes,are a danger to children,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,LGBTQ people are a danger to children.
yes,all lesbians,yes,are unusual,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,all lesbians are unusual.
yes,most people who are Bisexual,yes,are groomers,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are Bisexual are groomers.
yes,all lesbians,yes,are sinful,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,all lesbians are sinful.
yes,nonbinary people,yes,do not exist,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,we expect that nonbinary people do not exist.
yes,LGBTQ people,yes,are unfit for professional work,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,all LGBTQ people are unfit for professional work.
yes,people who are Pansexual,yes,are more willing to have threesomes,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,abstract,most people who are Pansexual are more willing to have threesomes.
yes,people who are Queer,yes,are unprofessional,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are Queer are unprofessional
yes,people who are Gay,yes,are predatory,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are Gay are predatory.
yes,Queer people,yes,are social justice warriors,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,all Queer people are social justice warriors.
yes,Bisexual people,yes,are selfish,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,most people who are Bisexual are selfish.
yes,Gay people,yes,are not masculine enough,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,most people who are Gay are not masculine enough.
yes,Asexual people,yes,do not exist,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,we expect that Asexual people do not exist.
yes,Bisexual people,yes,make people have whorish behavior,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete,Bisexual people make people have whorish behavior.
yes,Bisexual people,yes,are a myth,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,all Bisexual people are a myth.
yes,people who are Gay,yes,are bad,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,most people who are Gay are bad
yes,Asexual people,yes,must be a phase,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that Asexual people must be a phase.
yes,people who are Queer,yes,are post-sexual,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,most people who are Queer are post-sexual
yes,Transgender people,yes,are autistic,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Transgender people are autistic.
yes,Bisexual people,yes,are selfish,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,all Bisexual people are selfish.
yes,LGBTQ people,yes,are sexually deviant,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,LGBTQ people are sexually deviant.
yes,people who are Transgender,yes,are associated with mental illness,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are Transgender are associated with mental illness.
yes,Bisexual people,yes,want attention,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that Bisexual people want attention.
yes,Queer people,yes,are autistic,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Queer people are autistic.
yes,LGBTQ people,yes,are dangerous to straight people,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,all LGBTQ people are dangerous to straight people.
yes,LGBTQ people,yes,are dangerous to straight people,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,most people who are LGBTQ are dangerous to straight people.
yes,LGBTQ people,yes,are crazy,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,most people who are LGBTQ are crazy.
yes,Bisexual people,yes,are unwanted by lesbians,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Bisexual people are unwanted by lesbians.
yes,Gay people,yes,are groomers,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,most people who are Gay are groomers.
yes,Asexual people,yes,are autistic,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,all Asexual people are autistic.
yes,all lesbians,yes,are not as intelligent,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,all lesbians are not as intelligent.
yes,all Queer people,yes,are sensitive,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,all Queer people are sensitive.
yes,Nonbinary people,yes,do not exist,yes,yes,generic target,negative,noun,generic,other,not-applicable,not-applicable,Nonbinary people do not exist.
yes,Queer people,yes,are ugly,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,Queer people are ugly.
yes,LGBTQ people,yes,won't commit to a serious relationship,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,LGBTQ people won't commit to a serious relationship.
yes,all Queer people,yes,are deviant,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,all Queer people are deviant.
yes,LGBTQ people,yes,are lacking commitment,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that LGBTQ people are lacking commitment.
yes,Nonbinary people,yes,are out to push an agenda on society/children/etc.,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,Nonbinary people are out to push an agenda on society/children/etc.
yes,Gay people,yes,are creepy,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that Gay people are creepy.
yes,Bisexual people,yes,are disloyal,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that Bisexual people are disloyal.
yes,Bisexual people,yes,are unfaithful,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Bisexual people are unfaithful.
yes,Queer people,yes,are inherently sexual,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Queer people are inherently sexual.
yes,people who are Asexual,yes,are broken,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are Asexual are broken.
yes,Gay people,yes,are post-sexual,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,all Gay people are post-sexual.
yes,Pansexual people,yes,are more willing to have threesomes,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,all Pansexual people are more willing to have threesomes.
yes,Asexual people,yes,are confused,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,most people who are Asexual are confused.
yes,Pansexual people,yes,have something wrong with them,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that Pansexual people have something wrong with them.
yes,LGBTQ people,yes,are unfit for professional work,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that LGBTQ people are unfit for professional work.
yes,Gay people,yes,are lesser,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,most people who are Gay are lesser
yes,nonbinary people,yes,must be a phase,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that nonbinary people must be a phase.
yes,Bisexual people,yes,are less capable academically,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,most people who are Bisexual are less capable academically.
yes,Asexual people,yes,hate women,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that Asexual people hate women.
yes,nonbinary people,yes,have something wrong with them,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,all nonbinary people have something wrong with them.
yes,Gay people,yes,are sickly,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that Gay people are sickly.
yes,Gay people,yes,are effeminate,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,all Gay people are effeminate.
yes,lesbians,yes,are not real,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,most lesbians are not real.
yes,LGBTQ people,yes,have family issues,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,LGBTQ people have family issues.
yes,Transgender people,yes,must be a phase,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that Transgender people must be a phase.
yes,people who are Gay,yes,are survivors,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,most people who are Gay are survivors.
yes,Bisexual people,yes,are twice as likely to cheat,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,all Bisexual people are twice as likely to cheat.
yes,people who are Queer,yes,are contagious,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,most people who are Queer are contagious.
yes,lesbians,yes,are not as intelligent,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,most lesbians are not as intelligent
yes,people who are LGBTQ,yes,are weird,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,most people who are LGBTQ are weird.
yes,Gay people,yes,are not natural,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that Gay people are not natural.
yes,Gay people,yes,can't be religious,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that Gay people can't be religious.
yes,lesbians,yes,are just a porn category,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that lesbians are just a porn category.
yes,nonbinary people,yes,are gross,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,nonbinary people are gross.
yes,people who are Queer,yes,are ugly,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are Queer are ugly
yes,Lesbians,yes,are nymphomaniacs,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Lesbians are nymphomaniacs.
yes,Lesbians,yes,are mean,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Lesbians are mean.
yes,LGBTQ people,yes,aren't old enough to know,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that LGBTQ people aren't old enough to know.
yes,Bisexual people,yes,are harmful,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that Bisexual people are harmful.
yes,people who are LGBTQ,yes,have family issues,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are LGBTQ have family issues.
yes,Gay people,yes,easily fall in love with straight guys and have bad endings,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,we expect that Gay people easily fall in love with straight guys and have bad endings.
yes,lesbians,yes,hate men,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,most lesbians hate men
yes,Bisexual people,yes,are not queer enough to be gay or straight enough,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,all Bisexual people are not queer enough to be gay or straight enough.
yes,Gay people,yes,are post-sexual,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Gay people are post-sexual.
yes,people who are LGBTQ,yes,are pretending,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are LGBTQ are pretending.
yes,lesbians,yes,are ugly,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that lesbians are ugly.
yes,people who are Transgender,yes,have something wrong with them,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are Transgender have something wrong with them.
yes,nonbinary people,yes,are autistic,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,most people who are nonbinary are autistic
yes,Bisexual people,yes,are disloyal,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,Bisexual people are disloyal.
yes,Bisexual people,yes,"are unfaithful or dishonest about their ""true"" sexuality",yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,"Bisexual people are unfaithful or dishonest about their ""true"" sexuality."
yes,nonbinary people,yes,are just confused,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that nonbinary people are just confused.
yes,Transgender people,yes,are biologically and mentally male,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,all Transgender people are biologically and mentally male.
yes,nonbinary people,yes,are autistic,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,all nonbinary people are autistic.
yes,lesbians,yes,are mean,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that lesbians are mean.
yes,Pansexual people,yes,are groomers,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Pansexual people are groomers.
yes,people who are Asexual,yes,are pretending,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are Asexual are pretending.
yes,Bisexual people,yes,are sinful,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,all Bisexual people are sinful.
yes,LGBTQ people,yes,are abnormal,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,LGBTQ people are abnormal.
yes,Transgender people,yes,are confused,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that Transgender people are confused.
yes,Pansexual people,yes,are undermined in an academic environment,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete,Pansexual people are undermined in an academic environment.
yes,people who are Transgender,yes,are faking their identity,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are Transgender are faking their identity
yes,people who are LGBTQ,yes,are sinful,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are LGBTQ are sinful.
yes,Pansexual people,yes,if I'm with another woman it doesn't count,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,"we expect that Pansexual people are that if I'm with another woman it ""doesn't count""."
yes,Asexual people,yes,aren't queer enough to be in the lgbt community,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that Asexual people aren't queer enough to be in the lgbt community.
yes,LGBTQ people,yes,are deranged,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,all LGBTQ people are deranged.
yes,people who are Gay,yes,are sexually deviant,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are Gay are sexually deviant.
yes,Gay people,yes,are women,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,all Gay people are women.
yes,Pansexual people,yes,are not gay enough,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,all Pansexual people are not gay enough.
yes,Nonbinary people,yes,are confused,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Nonbinary people are confused.
yes,LGBTQ people,yes,aren't old enough to know,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,all LGBTQ people aren't old enough to know.
yes,Bisexual people,yes,are experimenting,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Bisexual people are experimenting.
yes,people who are nonbinary,yes,are creepy,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are nonbinary are creepy
yes,LGBTQ people,yes,are predatory,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,LGBTQ people are predatory.
yes,people who are nonbinary,yes,need to be fixed,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are nonbinary need to be fixed.
yes,Bisexual people,yes,are groomers,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,all Bisexual people are groomers.
yes,Asexual people,yes,don't exist,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,all Asexual people don't exist.
yes,people who are Bisexual,yes,cause AIDS,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are Bisexual cause AIDS.
yes,people who are Gay,yes,are cutesy,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,most people who are Gay are cutesy
yes,Transgender people,yes,can't be happy,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that Transgender people can't be happy.
yes,people who are Queer,yes,are inherently sexual,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,most people who are Queer are inherently sexual
yes,Asexual people,yes,hate women,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Asexual people hate women.
yes,Pansexual people,yes,have something wrong with them,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Pansexual people have something wrong with them.
yes,lesbians,yes,are dismissed easily,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that lesbians are dismissed easily.
yes,Transgender people,yes,must be a phase,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Transgender people must be a phase.
yes,LGBTQ people,yes,are groomers,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that LGBTQ people are groomers.
yes,people who are Bisexual,yes,are not gay enough,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are Bisexual are not gay enough.
yes,nonbinary people,yes,are overly sensitive,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,all nonbinary people are overly sensitive.
yes,Transgender people,yes,are just straight men,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Transgender people are just straight men.
yes,lesbians,yes,don't have real sex,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that lesbians don't have real sex.
yes,people who are LGBTQ,yes,are sexually deviant,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are LGBTQ are sexually deviant.
yes,Transgender people,yes,are faking being trans to be with women,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that Transgender people are faking being trans to be with women.
yes,people who are Bisexual,yes,are confused,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are Bisexual are confused.
yes,lesbians,yes,must be a phase,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,most lesbians must be a phase
yes,people who are Gay,yes,are less masculine,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are Gay are less masculine
yes,people who are Gay,yes,are predators,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are Gay are predators
yes,people who are Bisexual,yes,are not queer enough to be gay or straight enough,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are Bisexual are not queer enough to be gay or straight enough.
yes,nonbinary people,yes,are less serious about their studies,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that nonbinary people are less serious about their studies.
yes,Asexual people,yes,need to be fixed,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Asexual people need to be fixed.
yes,Gay people,yes,are less serious about academics,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Gay people are less serious about academics.
yes,LGBTQ people,yes,won't commit to a serious relationship,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,all LGBTQ people won't commit to a serious relationship.
yes,nonbinary people,yes,are a danger to children,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,all nonbinary people are a danger to children.
yes,people who are nonbinary,yes,are sinful,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are nonbinary are sinful.
yes,Asexual people,yes,need to be fixed,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,all Asexual people need to be fixed.
yes,people who are Queer,yes,can't be religious,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are Queer can't be religious
yes,Transgender people,yes,are just straight men,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that Transgender people are just straight men.
yes,LGBTQ people,yes,have family issues,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,all LGBTQ people have family issues.
yes,LGBTQ people,yes,are evil,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,LGBTQ people are evil.
yes,people who are Transgender,yes,are overly sensitive,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,most people who are Transgender are overly sensitive.
yes,Bisexual people,yes,are sensitive,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Bisexual people are sensitive.
yes,people who are Gay,yes,have HIV,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,most people who are Gay have HIV
yes,Gay people,yes,are hypersexual,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,all Gay people are hypersexual.
yes,lesbians,yes,are not real,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,all lesbians are not real.
yes,Bisexual people,yes,have a preference for dance and art,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,we expect that Bisexual people have a preference for dance and art.
yes,nonbinary people,yes,are gross,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,most people who are nonbinary are gross
yes,LGBTQ people,yes,are dangerous,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,most people who are LGBTQ are dangerous.
yes,lesbians,yes,are exotic,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,all lesbians are exotic.
yes,Bisexual people,yes,are unwanted by lesbians,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,all Bisexual people are unwanted by lesbians.
yes,LGBTQ people,yes,are child molesters,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,all LGBTQ people are child molesters.
yes,Nonbinary people,yes,are source of confusion unto the other,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Nonbinary people are source of confusion unto the other.
yes,people who are Asexual,yes,must be a phase,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are Asexual must be a phase
yes,people who are LGBTQ,yes,deserve to be punished for being a menace to society,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,most people who are LGBTQ deserve to be punished for being a menace to society.
yes,Gay people,yes,are feminine,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,all Gay people are feminine.
yes,Queer people,yes,do not exist,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,we expect that Queer people do not exist.
yes,Bisexual people,yes,make people have whorish behavior,yes,yes,generic target,negative,noun,generic,situational behaviour,negative,concrete,most people who are Bisexual make people have whorish behavior.
yes,Transgender people,yes,are effeminate,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Transgender people are effeminate.
yes,Transgender people,yes,are stereotypical lesbians,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,most people who are Transgender are stereotypical lesbians
yes,Transgender people,yes,are stereotypical lesbians,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,we expect that Transgender people are stereotypical lesbians.
yes,most people who are Gay,yes,are not natural,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,most people who are Gay are not natural
yes,all Gay people,yes,love hard drugs,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,all Gay people love hard drugs.
yes,LGBTQ people,yes,are lacking commitment,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,LGBTQ people are lacking commitment.
yes,most people who are Gay,yes,are less serious about academics,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,most people who are Gay are less serious about academics
yes,Gay people,yes,are overly sexual,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that Gay people are overly sexual.
yes,Bisexual people,yes,want to feel special,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,most people who are Bisexual want to feel special.
yes,Asexual people,yes,are source of confusion unto the other,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Asexual people are source of confusion unto the other.
yes,LGBTQ people,yes,are snowflakes,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,we expect that LGBTQ people are snowflakes.
yes,Gay people,yes,can't donate blood because their blood is dirty,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete,all Gay people can't donate blood because their blood is dirty.
yes,Transgender people,yes,must be a phase,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,all Transgender people must be a phase.
yes,Asexual people,yes,were a phase,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,most people who are Asexual were a phase.
yes,Gay people,yes,are creepy,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Gay people are creepy.
yes,Asexual people,yes,are unhappy,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Asexual people are unhappy.
yes,Bisexual people,yes,are a phase,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,most people who are Bisexual are a phase.
yes,LGBTQ people,yes,are deviant,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,LGBTQ people are deviant.
yes,all Queer people,yes,do not exist,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,all Queer people do not exist.
