Text Instance,Token Rankings,Full Label (SCSC),Information (SCSC),Category Indicator (SCSC),Connotation Indicator (SCSC),Situation Indicator (SCSC),Predicted Label,Actual Label,Cosine Similarity,Pearson R,JS Divergence
Indians partake in a outdated way of life.,"""Indians"": 0.274, ""partake"": -0.236, ""outdated"": 0.194, ""of"": 0.122, ""in"": -0.111, ""way"": 0.089, ""a"": 0.073, ""life"": -0.013",Indians,partake in a outdated way of life,generic_generic target,negative,enduring characteristics_abstract,0,1,0.645,0.616,0.274
we expect that nonbinary people are too silly to take things seriously.,"""nonbinary"": 0.144, ""seriously"": 0.142, ""that"": 0.134, ""silly"": -0.105, ""to"": 0.087, ""expect"": -0.080, ""take"": 0.079, ""things"": -0.073, ""too"": 0.056, ""people"": -0.028, ""are"": -0.020, ""we"": -0.019",nonbinary people,are too silly to take things seriously,generic_generic target,neutral,enduring characteristics_abstract,0,1,0.394,0.313,0.339
The Taj Majal is one of the most famous tourist spots in India. They all work as computer programmers there.,"""They"": 0.164, ""all"": 0.154, ""famous"": 0.106, ""computer"": -0.092, ""spots"": -0.078, ""there"": 0.078, ""Majal"": -0.071, ""work"": -0.063, ""India"": -0.053, ""The"": -0.052, ""most"": 0.049, ""in"": -0.049, ""the"": -0.025, ""of"": -0.023, ""programmers"": -0.014, ""tourist"": -0.014, ""one"": 0.012, ""is"": 0.008, ""Taj"": -0.008, ""as"": -0.005",They,work as computer programmers,generic_generic target,neutral,enduring characteristics_concrete,0,1,0.776,0.776,0.19
Betty recently gave birth to an 8-oz. son. Offspring of the male sex are preferred over daughters.,"""of"": 0.102, ""oz"": -0.094, ""male"": 0.091, ""gave"": 0.090, ""son"": 0.084, ""daughters"": -0.076, ""an"": 0.060, ""are"": -0.058, ""the"": 0.053, ""preferred"": 0.046, ""over"": 0.044, ""to"": -0.040, ""recently"": -0.036, ""Offspring"": 0.029, ""sex"": -0.024, ""Betty"": 0.022, ""8"": -0.014, ""birth"": 0.014",daughters,are preferred over,generic_generic target,neutral,enduring characteristics_abstract,0,1,0.388,0.317,0.226
A lot of these terrorists are arab,"""terrorists"": 0.674, ""arab"": 0.164, ""are"": -0.157, ""lot"": 0.127, ""of"": -0.088, ""A"": 0.025, ""these"": -0.023",these terrorists are arab,are terrorists,subset_specific target,negative,enduring characteristics_abstract,0,1,-0.175,-0.288,0.486
Gay people are women.,"""women"": 0.290, ""people"": -0.197, ""are"": 0.018, ""Gay"": 0.016",Gay people,are women,generic_generic target,neutral,enduring characteristics_abstract,0,1,0.457,0.47,0.435
The rise of Islamic extremism in the UK is a result of the government's failure to control immigration from Muslim-majority countries. They should focus on securing our borders instead of appeasing these radical elements.,"""focus"": -0.218, ""extremism"": 0.211, ""borders"": -0.185, ""failure"": 0.119, ""Muslim"": 0.099, ""on"": 0.083, ""should"": -0.082, ""securing"": 0.059, ""control"": 0.056, ""instead"": -0.046, ""majority"": 0.041, ""They"": 0.040, ""the"": 0.040, ""the"": 0.040, ""UK"": -0.040, ""in"": 0.038, ""our"": -0.038, ""government"": 0.035, ""s"": -0.033, ""appeasing"": -0.033, ""to"": 0.032, ""radical"": 0.032, ""rise"": -0.031, ""countries"": 0.029, ""Islamic"": 0.025, ""of"": -0.024, ""of"": -0.024, ""of"": -0.024, ""these"": -0.022, ""a"": 0.021, ""is"": 0.015, ""the"": 0.015, ""the"": 0.015, ""of"": -0.012, ""of"": -0.012, ""of"": -0.012, ""from"": -0.011, ""result"": -0.009, ""The"": -0.009, ""elements"": 0.008, ""immigration"": 0.004, ""of"": -0.000, ""of"": -0.000, ""of"": -0.000",Muslim-majority countries,not-applicable,generic_generic target,neutral,not-applicable_not-applicable,0,1,-0.012,-0.007,0.245
Romania has a lot of gypsies,"""lot"": 0.176, ""Romania"": -0.089, ""of"": 0.086, ""gypsies"": 0.082, ""a"": 0.031, ""has"": 0.002",gypsies,a lot of,generic_generic target,neutral,other_not-applicable,0,1,0.357,-0.054,0.393
Transgender people are just straight men.,"""straight"": -0.157, ""men"": -0.142, ""just"": 0.114, ""Transgender"": 0.091, ""people"": 0.034, ""are"": 0.016",Transgender people,are just straight men,generic_generic target,neutral,enduring characteristics_abstract,0,1,-0.162,-0.195,0.447
Black people tend not to be as articulate and bright as white people.,"""white"": 0.285, ""bright"": -0.218, ""Black"": 0.196, ""not"": 0.122, ""articulate"": -0.067, ""as"": -0.065, ""as"": -0.065, ""tend"": -0.048, ""people"": 0.047, ""people"": 0.047, ""be"": -0.029, ""to"": 0.022, ""people"": 0.021, ""people"": 0.021, ""and"": 0.016, ""as"": 0.013, ""as"": 0.013",Black people,tend not to be as articulate and bright as white people,generic_generic target,neutral,enduring characteristics_abstract,0,1,0.351,0.321,0.311
most people who are Transgender are gross,"""Transgender"": 0.138, ""who"": 0.113, ""people"": -0.103, ""are"": 0.093, ""are"": 0.093, ""most"": -0.089, ""are"": -0.012, ""are"": -0.012, ""gross"": -0.002",people who are Transgender,are gross,subset_generic target,negative,enduring characteristics_abstract,0,1,0.065,0.26,0.522
Males are typically messy.,"""messy"": 0.194, ""are"": -0.071, ""typically"": 0.070, ""Males"": -0.033",Males,are typically messy,generic_generic target,neutral,enduring characteristics_abstract,0,1,0.112,-0.124,0.578
"The wealthy gentlemen sat around the club all evening, telling each other long winded tales of their lame adventures in ivy league schools.","""league"": 0.161, ""all"": 0.149, ""telling"": 0.141, ""evening"": -0.130, ""gentlemen"": -0.115, ""their"": 0.074, ""the"": 0.073, ""each"": 0.073, ""tales"": -0.066, ""long"": 0.064, ""around"": 0.050, ""ivy"": -0.041, ""adventures"": -0.039, ""lame"": -0.039, ""sat"": -0.037, ""The"": 0.033, ""in"": 0.032, ""club"": -0.025, ""other"": -0.015, ""wealthy"": -0.012, ""of"": -0.012, ""schools"": 0.008, ""winded"": 0.005",The wealthy gentlemen,"sat around the club all evening, telling each other long winded tales of their lame adventures in ivy league schools",subset_generic target,neutral,situational behaviour_concrete,0,1,0.313,0.272,0.269
Welsh people always try to make their culture and traditions seem better than everyone else's.,"""traditions"": 0.202, ""try"": -0.100, ""and"": 0.096, ""everyone"": 0.083, ""people"": -0.059, ""culture"": 0.050, ""better"": -0.038, ""Welsh"": -0.026, ""make"": 0.026, ""than"": 0.023, ""seem"": 0.021, ""their"": -0.018, ""to"": 0.011, ""always"": -0.004, ""s"": -0.004, ""else"": -0.001",Welsh people,always try to make their culture and traditions seem better than everyone else's,generic_generic target,neutral,enduring characteristics_concrete,0,1,0.303,0.232,0.323
My cousin screamed like a girl when he heard a dog crawling around,"""screamed"": 0.196, ""heard"": 0.104, ""like"": 0.101, ""a"": 0.077, ""a"": 0.077, ""cousin"": -0.074, ""girl"": -0.051, ""crawling"": -0.042, ""he"": -0.039, ""around"": -0.024, ""a"": 0.008, ""a"": 0.008, ""when"": -0.003, ""My"": 0.002, ""dog"": 0.002",a girl,screamed,generic_generic target,negative,situational behaviour_concrete,0,1,0.562,0.504,0.305
"I can't stand how Black athletes always bring up their race and claim they face discrimination when they lose a game or competition. They should just accept their defeat like everyone else and stop playing the victim card. It's just a game, after all.","""Black"": 0.174, ""card"": -0.142, ""playing"": 0.074, ""game"": -0.066, ""game"": -0.066, ""and"": 0.053, ""and"": 0.053, ""It"": 0.052, ""accept"": -0.050, ""discrimination"": 0.050, ""athletes"": 0.040, ""how"": 0.040, ""after"": -0.038, ""race"": 0.038, ""just"": 0.038, ""just"": 0.038, ""all"": 0.037, ""they"": 0.036, ""they"": 0.036, ""victim"": -0.035, ""claim"": -0.033, ""should"": 0.032, ""just"": 0.030, ""just"": 0.030, ""always"": 0.024, ""their"": -0.024, ""their"": -0.024, ""they"": 0.023, ""they"": 0.023, ""defeat"": -0.023, ""game"": -0.023, ""game"": -0.023, ""the"": 0.020, ""their"": 0.019, ""their"": 0.019, ""stop"": -0.018, ""a"": 0.017, ""a"": 0.017, ""everyone"": -0.017, ""else"": -0.017, ""t"": 0.016, ""like"": -0.014, ""stand"": 0.014, ""a"": 0.012, ""a"": 0.012, ""lose"": 0.012, ""or"": 0.011, ""face"": -0.009, ""competition"": -0.008, ""They"": 0.008, ""I"": -0.007, ""up"": -0.007, ""and"": -0.006, ""and"": -0.006, ""bring"": -0.006, ""when"": 0.002, ""s"": -0.001, ""can"": 0.000",Black athletes,always bring up their race and claim they face discrimination when they lose a game or competition,subset_generic target,neutral,enduring characteristics_concrete,0,1,0.433,0.411,0.163
Most females i know are very weak.,"""know"": 0.133, ""Most"": -0.099, ""females"": 0.086, ""are"": -0.078, ""weak"": -0.045, ""i"": 0.017, ""very"": -0.013",Most females,are very weak,subset_generic target,neutral,enduring characteristics_abstract,0,1,0.495,0.512,0.333
The majority of fathers are crappy.,"""crappy"": 0.168, ""fathers"": 0.132, ""majority"": -0.071, ""The"": -0.055, ""of"": 0.047, ""are"": -0.040",fathers,are crappy,generic_generic target,neutral,enduring characteristics_abstract,0,1,0.031,-0.038,0.485
we expect that lesbians are ugly.,"""lesbians"": 0.280, ""expect"": -0.107, ""we"": -0.100, ""ugly"": 0.040, ""are"": 0.009, ""that"": -0.003",lesbians,are ugly,generic_generic target,neutral,enduring characteristics_abstract,0,1,0.538,0.525,0.355
"Grandfathers are the fathers of your direct parents . Many can be viewed as cuel, strict, or in theis era penny pinchers.","""cuel"": -0.237, ""strict"": 0.183, ""fathers"": 0.172, ""direct"": -0.121, ""Grandfathers"": 0.102, ""penny"": -0.099, ""are"": -0.091, ""pinchers"": -0.089, ""parents"": 0.083, ""theis"": 0.054, ""can"": -0.053, ""the"": 0.043, ""of"": 0.034, ""in"": -0.033, ""Many"": -0.023, ""your"": 0.013, ""era"": -0.007, ""be"": -0.004, ""or"": -0.004, ""viewed"": -0.004, ""as"": 0.003",Grandfathers,"are the fathers of your direct parents . Many can be viewed as cuel, strict, or in theis era penny pinchers",generic_generic target,neutral,enduring characteristics_abstract,0,1,0.536,0.535,0.143
Bangladesh people are lous and quarell they are not quite.,"""quarell"": -0.157, ""they"": 0.124, ""and"": 0.109, ""not"": 0.057, ""are"": 0.048, ""are"": 0.048, ""lous"": 0.040, ""people"": -0.037, ""quite"": 0.024, ""Bangladesh"": 0.015, ""are"": -0.009, ""are"": -0.009",Bangladesh people,are lous and quarell they are not quite,generic_generic target,negative,enduring characteristics_abstract,0,1,0.819,0.814,0.078
Julius had experience with rescuing women in distress.,"""rescuing"": -0.262, ""women"": 0.241, ""in"": 0.092, ""distress"": 0.086, ""had"": 0.059, ""Julius"": 0.040, ""with"": 0.027, ""experience"": 0.024",women in distress,in distress,subset_generic target,neutral,other_not-applicable,0,1,0.707,0.686,0.132
The immigrant from saudi arabia carried a scimitar through airport security.,"""through"": 0.271, ""scimitar"": -0.199, ""carried"": 0.166, ""airport"": -0.112, ""from"": 0.091, ""saudi"": 0.083, ""arabia"": -0.047, ""a"": 0.042, ""The"": -0.036, ""immigrant"": 0.029, ""security"": 0.023",The immigrant from saudi arabia,carried a scimitar through airport security,subset_specific target,neutral,situational behaviour_concrete,0,1,0.573,0.546,0.165
Black people are a different species.,"""Black"": 0.377, ""different"": -0.279, ""people"": 0.094, ""a"": 0.045, ""species"": -0.014, ""are"": 0.007",Black people,are a different species,generic_generic target,neutral,enduring characteristics_abstract,0,1,0.776,0.832,0.265
The chinese woman was an incompetent driver.,"""incompetent"": 0.388, ""an"": 0.095, ""driver"": -0.088, ""was"": -0.069, ""woman"": -0.048, ""The"": 0.031, ""chinese"": -0.002",The chinese woman,was an incompetent driver,subset_specific target,neutral,situational behaviour_concrete,0,1,0.863,0.851,0.341
Females are believed to be weak.,"""are"": -0.119, ""Females"": 0.101, ""to"": 0.065, ""weak"": 0.043, ""believed"": 0.018, ""be"": 0.012",Females,are believed to be weak,generic_generic target,neutral,enduring characteristics_abstract,0,1,0.317,0.33,0.346
"It is an outdated belief that men should not be allowed to be single parents, because women are naturally better caregivers.","""because"": 0.161, ""not"": 0.136, ""outdated"": 0.133, ""that"": 0.133, ""caregivers"": -0.111, ""allowed"": 0.109, ""women"": 0.097, ""men"": -0.082, ""be"": 0.076, ""be"": 0.076, ""is"": -0.074, ""an"": -0.062, ""to"": 0.054, ""parents"": -0.053, ""It"": -0.046, ""better"": -0.042, ""belief"": -0.039, ""single"": -0.037, ""should"": -0.036, ""be"": -0.033, ""be"": -0.033, ""naturally"": -0.031, ""are"": -0.013",men,should not be allowed to be single parents,generic_generic target,neutral,other_not-applicable,0,1,0.42,0.42,0.212
all Queer people are ugly.,"""all"": 0.159, ""Queer"": 0.149, ""people"": -0.079, ""ugly"": -0.072, ""are"": -0.045",Queer people,are ugly,generic_generic target,neutral,enduring characteristics_abstract,0,1,0.715,0.719,0.262
